scope,source_id,evidence_class,canonical_strategy_id,strategy_id,window_id,transaction_cost_bps_one_way,annual_short_borrow_percent,annual_cash_borrow_percent,observations,elapsed_years,total_return,cagr,annualized_volatility,max_drawdown,annualized_certainty_equivalent_return
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261006,moving_block_bootstrap_pretraining__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.847080671687938,0.39623582916233313,0.1770931407599298,0.06502967844542507,0.3770416267752228
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261007,moving_block_bootstrap_pretraining__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7921116937661088,0.37347746375378255,0.1919478476412742,0.06822924508134609,0.3520866064579389
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261008,moving_block_bootstrap_pretraining__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3132659187440927,0.15979069843792026,0.16533408899908314,0.08857819147960333,0.14577738048405275
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261009,moving_block_bootstrap_pretraining__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4714225066856996,0.23379538986951465,0.14781522134025693,0.09470811911965471,0.22090830359192992
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining__seed_20261010,moving_block_bootstrap_pretraining__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.9153190119049515,0.42406257782717316,0.15106858334632883,0.07947328524836461,0.4095842775341325
complete_periods,causal_components,post_holdout_explanatory,causal_components::moving_block_bootstrap_pretraining_ensemble,moving_block_bootstrap_pretraining_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5413916205282061,0.2653712051032271,0.13647699609047362,0.06496869951119466,0.25469120014365876
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261001,ppo_lstm_full__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.42116299496958254,0.21068961393734065,0.16020577645975198,0.04009167816438586,0.19753904955747092
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261002,ppo_lstm_full__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.37484146770853144,0.18906194981124758,0.11371080359550517,0.060280383914681046,0.18192759120092084
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261003,ppo_lstm_full__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.546647221755497,0.267716300332995,0.1305739748990976,0.05350462601633221,0.2579314320245918
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261004,ppo_lstm_full__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3817617689968549,0.19231394339876973,0.12260339017133198,0.08239550345696889,0.18403007422689122
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261005,ppo_lstm_full__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4463385982226833,0.2223093521512327,0.1120260348458103,0.07417832326438267,0.21500458339175954
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261006,ppo_lstm_full__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.45500596863954246,0.22628837785580425,0.11258366615038634,0.06039617709580514,0.21907289601706026
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261007,ppo_lstm_full__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6919533976513592,0.3311748964407051,0.15342493771672966,0.0629587335213625,0.31731753918266126
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261008,ppo_lstm_full__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6713247429044256,0.32232168505121916,0.19072633098852781,0.06242720139461966,0.3027433729252036
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261009,ppo_lstm_full__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,0.48552864820074015,0.24021543891806352,0.1440707488258465,0.08348688756619926,0.2287187905533028
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full__seed_20261010,ppo_lstm_full__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7821680335231507,0.36932674144949895,0.15508900880255316,0.06595359257450861,0.3546843348974045
complete_periods,causal_components,post_holdout_explanatory,causal_components::ppo_lstm_full_ensemble,ppo_lstm_full_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5292288088129591,0.2599300264845694,0.12915101181061228,0.056703426788998534,0.250468021967591
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261001,pretrained_only_no_historical_finetuning__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.39971848651725317,0.20071771044390485,0.13677887421847718,0.09092128390183307,0.1900138310665198
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261002,pretrained_only_no_historical_finetuning__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4940489097285854,0.2440797546939073,0.1808012408724002,0.09766852105868828,0.22540492205473406
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261003,pretrained_only_no_historical_finetuning__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.45873151488221864,0.2279953829695971,0.15298892918755047,0.08565322153808563,0.2151013854942403
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261004,pretrained_only_no_historical_finetuning__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5149842044013295,0.25353237873284384,0.175553688101199,0.0851017949007985,0.23589149134975673
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261005,pretrained_only_no_historical_finetuning__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.563255230186879,0.2751031552083134,0.16999115415380092,0.08960852185153767,0.25835719747814023
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261006,pretrained_only_no_historical_finetuning__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.8879949765449018,0.41297533897999794,0.17012400282895296,0.051502066151768444,0.3953524085734357
complete_periods,causal_components,post_holdout_explanatory,causal_components::pretrained_only_no_historical_finetuning__seed_20261007,pretrained_only_no_historical_finetuning__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4816307672699709,0.2384442083239946,0.15647438313832418,0.0896280520123447,0.22467697626898975
