label,alternative_experiment_id,seed,paired_annualized_ce_difference,inference_scope
Recurrent encoder contribution,feedforward_capacity_matched,20261009,-0.08257927997775205,training_randomness_only
Recurrent encoder contribution,feedforward_capacity_matched,20261010,0.012020136972897388,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261001,0.025983758154294767,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261002,-0.041292441533628876,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261003,-0.033147464504384994,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261004,0.13691765415482005,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261005,-0.002681118396819171,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261006,-0.30258636609603484,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261007,-0.05776814496151461,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261008,0.11207894767527815,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261009,0.025741789848042096,training_randomness_only
Historical fine-tuning contribution,pretrained_only_no_historical_finetuning,20261010,-0.03637416686039918,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261001,0.050510212883546846,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261002,-0.08642325824322872,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261003,0.0024255163633584154,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261004,-0.0023756866516295716,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261005,0.03135445988680652,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261006,-0.13737497665466214,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261007,-0.25769051829934564,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261008,0.2676539041253596,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261009,0.07471173895310468,training_randomness_only
TD3 versus DDPG,ddpg_lstm_full,20261010,0.0017487007106340435,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261001,-0.04510397852539083,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261002,-0.15768158291010392,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261003,-0.07111338954259461,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261004,0.04914136570978189,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261005,0.009646744438512878,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261006,-0.3243083455877167,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261007,-0.12182168334255006,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261008,0.16841938009606894,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261009,0.04053953491208673,training_randomness_only
TD3 versus SAC,sac_lstm_full,20261010,-0.11530579556828946,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261001,0.018458539663343654,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261002,0.002184889320181238,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261003,-0.07597751103473649,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261004,0.18877907127768556,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261005,0.04067149568956152,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261006,-0.12630685353965942,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261007,-0.15040870787518612,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261008,0.08679737981979119,training_randomness_only
TD3 versus PPO,ppo_lstm_full,20261009,0.02217831179756069,training_randomness_only
