experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr,operational_source
ppo_lstm_full,20261002,1,0,363.51078468794003,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261002,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261002.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261002.stderr.txt,v3_strict_path
ppo_lstm_full,20261003,2,0,357.8549243682064,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261003,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261003.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261003.stderr.txt,v3_strict_path
ppo_lstm_full,20261004,3,0,356.10973980487324,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261004,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261004.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261004.stderr.txt,v3_strict_path
ppo_lstm_full,20261005,0,0,360.79090284300037,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261005,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261005.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261005.stderr.txt,v3_strict_path
ppo_lstm_full,20261006,1,0,351.02083714096807,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261006,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261006.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261006.stderr.txt,v3_strict_path
ppo_lstm_full,20261007,2,0,354.46641588700004,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261007,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261007.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261007.stderr.txt,v3_strict_path
ppo_lstm_full,20261008,3,0,358.2245021990966,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261008,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261008.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261008.stderr.txt,v3_strict_path
ppo_lstm_full,20261009,0,0,356.50008380715735,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261009,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261009.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261009.stderr.txt,v3_strict_path
ppo_lstm_full,20261010,1,0,360.6810273770243,data/publication_extension_runs_v3/ppo_lstm_full/seed_20261010,True,True,True,logs/publication_extension_v3_retry60/ppo_lstm_full__20261010.stdout.txt,logs/publication_extension_v3_retry60/ppo_lstm_full__20261010.stderr.txt,v3_strict_path
pretrained_only_no_historical_finetuning,20261001,0,0,639.8017760221846,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261001,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261001.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261001.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261002,1,0,620.1437836890109,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261002,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261002.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261002.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261003,0,0,638.453246708028,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261003,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261003.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261003.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261004,1,0,637.3475851719268,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261004,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261004.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261004.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261005,0,0,638.3726320220158,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261005,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261005.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261005.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261006,1,0,635.9709571499843,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261006,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261006.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261006.stderr.txt,v2_strict
pretrained_only_no_historical_finetuning,20261007,0,0,643.5023919360247,data/publication_extension_runs_v2/pretrained_only_no_historical_finetuning/seed_20261007,True,True,True,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261007.stdout.txt,logs/publication_extension_v2/pretrained_only_no_historical_finetuning__20261007.stderr.txt,v2_strict
